,name,stock_symbol,security_type,sector,industry,link,price_weblink,pair_ID,exchange_ID,exchange,country,last,pair_change_percent(%),daily_change(%),week_change(%),month_change(%),ytd_change(%),one_year_return(%),3year_change(%),52_week_high,52_week_low,52_week_high_diff(%),52_week_low_diff(%),month_change,summary_5mins,summary_15mins,summary_30mins,summary_hourly,summary_daily,summary_weekly,summary_monthly,market_cap,turnover_volume,average_volume,pe_ratio,revenue,eps,beta,dividend,dividend_yield(%),pe_ratio_TTM,price_to_sales_TTM,price_to_cash_flow_MRQ,price_to_free_cash_flow_TTM,price_to_book_MRQ,price_to_tangible_book_MRQ,eps_MRQ_change_1yr(%),eps_TTM_change_1yr(%),eps_growth_5yr(%),sales_MRQ_change_1yr(%),sales_TTM_change_1yr(%),sales_growth_5yr(%),capitalspending_growth_5yr(%),asset_turnover,inventory_turnover,revenue_per_employee(thousand),netincome_per_employee(thousand),receivable_turnover,gross_margin_TTM(%),gross_margin_5yr(%),operating_margin_TTM(%),operating_margin_5yr(%),pretax_margin_TTM(%),pretax_margin_5yr(%),netprofit_margin_TTM(%),netprofit_margin_5yr(%),quick_ratio,current_ratio,LT_debt_to_equity_MRQ(%),total_debt_to_equity(%),dividend_yield_avg_5yr(%),dividend_growth_rate(%),payout_ratio,ADX,ATR,BullBear,CCI,HL,ROC,RSI,STOCH,STOCHRSI,UO,WilliamsR,MACD,GICS_sector,stock_code,historical_price
0,KYM Holdings Bhd,KYMH,ORD,Services,Real Estate Operations,/equities/kym-holdings-bhd,https://www.investing.com/equities/kym-holdings-bhd-historical-data,992644,62,Kuala Lumpur,Malaysia,0.305,-3.17,-3.17,1.67,7.02,12.96,22.0,-41.35,0.49,0.16,-37.755102040816,90.625,-5.0,Buy,Neutral,Neutral,Neutral,Buy,Strong Buy,Neutral,45720000.0,142300,62437,,80120000.0,-0.05,0.94,,,22.68,0.57,9.23,7.39,0.54,0.57,178.92,-706.33,-20.68,-14.77,-15.6,-1.74,-3.9,0.46,,,,4.76,,9.72,-5.89,0.77,-9.06,-1.4,-8.77,-1.41,0.62,1.03,30.3,65.24,,,0.0,14.667,0.0436,-0.003,-2.3074,0.0,3.39,52.558,65.322,50.701,46.122,-80.435,0.005,Industrial Products,8362,"             Date  Price   Open   High    Low     Vol. Change %
0    Nov 27, 2020  0.305  0.320  0.320  0.285  142.30K   -3.17%
1    Nov 26, 2020  0.315  0.330  0.330  0.300   28.90K    0.00%
2    Nov 25, 2020  0.315  0.305  0.330  0.305  334.90K    3.28%
3    Nov 24, 2020  0.305  0.300  0.330  0.300  113.70K   -7.58%
4    Nov 23, 2020  0.330  0.330  0.330  0.330    0.20K   10.00%
..            ...    ...    ...    ...    ...      ...      ...
750  Dec 29, 2015  0.500  0.500  0.500  0.500    2.00K    2.04%
751  Dec 28, 2015  0.490  0.490  0.490  0.490    8.00K   11.36%
752  Dec 23, 2015  0.440  0.440  0.440  0.440    8.00K   -7.37%
753  Dec 18, 2015  0.475  0.475  0.475  0.475   15.00K    0.00%
754  Dec 07, 2015  0.475  0.475  0.475  0.475    3.00K   -5.00%

[755 rows x 7 columns]"
1,Kumpulan Jetson Bhd,JETS,ORD,Basic Materials,Chemicals - Plastics & Rubber,/equities/kumpulan-jetson-bhd,https://www.investing.com/equities/kumpulan-jetson-bhd-historical-data,950339,62,Kuala Lumpur,Malaysia,0.19,5.56,5.56,11.76,15.15,46.15,40.74,-24.0,0.24,0.05,-20.833333333333,280.0,-2.94,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,40200000.0,5517700,590136,,146300000.0,-0.05,2.4,,,,0.29,33.71,5.78,0.49,0.67,-783.0,-39.12,,-46.38,-22.66,2.03,11.87,0.68,2.87,,,2.2,12.96,16.29,-3.94,-1.94,-6.54,-4.03,-8.25,-5.15,0.79,1.2,26.44,87.23,,,,35.345,0.0079,0.014,133.3332,0.0079,5.556,62.168,38.889,100.0,48.095,-33.333,0.001,Industrial Products,9083,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.190  0.180  0.195  0.175    5.52M    5.56%
1     Nov 26, 2020  0.180  0.175  0.180  0.175  573.00K    0.00%
2     Nov 25, 2020  0.180  0.185  0.185  0.180  184.50K   -2.70%
3     Nov 24, 2020  0.185  0.190  0.195  0.185    1.67M    0.00%
4     Nov 23, 2020  0.185  0.170  0.200  0.170    4.51M    8.82%
...            ...    ...    ...    ...    ...      ...      ...
1060  Dec 04, 2015  0.250  0.250  0.250  0.245  196.50K    0.00%
1061  Dec 03, 2015  0.250  0.255  0.255  0.245    1.16M   -3.85%
1062  Dec 02, 2015  0.260  0.255  0.260  0.250  408.90K    0.00%
1063  Dec 01, 2015  0.260  0.250  0.260  0.250  374.10K    4.00%
1064  Nov 30, 2015  0.250  0.255  0.260  0.250  914.60K   -3.85%

[1065 rows x 7 columns]"
2,Kumpulan Perangsang Selangor,KPSB,ORD,Capital Goods,Misc. Capital Goods,/equities/kumpulan-perangsang-selangor,https://www.investing.com/equities/kumpulan-perangsang-selangor-historical-data,950366,62,Kuala Lumpur,Malaysia,0.94,8.67,8.67,3.87,34.29,34.29,29.66,-2.29,1.0,0.265,-6.0,254.71698113208,-8.5,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,505140000.0,4072500,3028476,34.8,1010000000.0,0.03,1.69,,7.46,34.8,0.5,,10.6,0.53,0.98,-488.64,105.8,-25.97,39.15,56.75,58.12,58.71,0.51,6.82,780.47,12.44,3.47,22.39,24.15,6.55,6.73,4.06,5.35,1.59,2.27,1.84,2.31,53.91,61.66,4.15,4.6,1206.85,20.544,0.075,0.112,102.105,0.0636,31.469,65.03,57.055,58.756,57.128,-20.69,0.035,Industrial Products,5843,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.940  0.870  0.945  0.865    4.07M    8.67%
1     Nov 26, 2020  0.865  0.850  0.875  0.830    1.03M    1.76%
2     Nov 25, 2020  0.850  0.835  0.870  0.835    1.09M    1.80%
3     Nov 24, 2020  0.835  0.890  0.890  0.830    1.83M   -6.18%
4     Nov 23, 2020  0.890  0.905  0.910  0.875    1.46M   -1.66%
...            ...    ...    ...    ...    ...      ...      ...
1208  Dec 07, 2015  1.190  1.200  1.210  1.180  142.30K   -0.83%
1209  Dec 03, 2015  1.200  1.200  1.200  1.190  484.20K    0.00%
1210  Dec 02, 2015  1.200  1.200  1.210  1.200   20.00K   -0.83%
1211  Dec 01, 2015  1.210  1.200  1.210  1.200   88.50K    0.00%
1212  Nov 30, 2015  1.210  1.210  1.210  1.200  147.50K    0.00%

[1213 rows x 7 columns]"
3,Kumpulan Powernet Bhd,KPOW,ORD,Consumer Cyclical,Apparel/Accessories,/equities/kumpulan-powernet-bhd,https://www.investing.com/equities/kumpulan-powernet-bhd-historical-data,953609,62,Kuala Lumpur,Malaysia,4.88,-2.4,-2.4,1.88,49.24,238.89,248.57,513.84,5.15,0.85,-5.2427184466019,474.11764705882,3.81,Strong Sell,Strong Sell,Sell,Neutral,Strong Buy,Strong Buy,Strong Buy,551850000.0,3348900,1968071,27.07,95840000.0,0.18,2.01,0.02,0.46,27.07,5.76,52.91,52.91,5.21,5.21,267.19,2725.55,,229.52,625.15,,,0.92,12.39,,,3.22,29.28,,18.79,,18.68,,13.33,,2.43,2.46,1.58,2.37,,,19.99,59.23,0.2936,0.874,100.7581,0.2043,25.128,71.553,66.599,33.894,52.196,-19.286,0.372,Consumer,7130,"             Date  Price   Open   High    Low    Vol. Change %
0    Nov 27, 2020  4.880  5.030  5.150  4.820   3.35M   -2.40%
1    Nov 26, 2020  5.000  4.760  5.020  4.760   1.64M    4.82%
2    Nov 25, 2020  4.770  4.530  4.840  4.530   1.73M    5.30%
3    Nov 24, 2020  4.530  4.620  4.680  4.420   1.51M   -2.37%
4    Nov 23, 2020  4.640  4.790  4.830  4.590   1.28M   -3.13%
..            ...    ...    ...    ...    ...     ...      ...
819  Dec 14, 2015  0.470  0.470  0.470  0.470  45.00K   -4.08%
820  Dec 04, 2015  0.490  0.480  0.490  0.480   6.20K    5.38%
821  Dec 03, 2015  0.465  0.465  0.465  0.465   8.60K    0.00%
822  Dec 02, 2015  0.465  0.465  0.465  0.465   7.00K    1.09%
823  Dec 01, 2015  0.460  0.460  0.460  0.460   9.80K   -4.17%

[824 rows x 7 columns]"
4,Kwantas Corporation Bhd,KWAN,ORD,Consumer/Non-Cyclical,Food Processing,/equities/kwantas-corporation-bhd,https://www.investing.com/equities/kwantas-corporation-bhd-historical-data,950376,62,Kuala Lumpur,Malaysia,1.44,-0.69,-0.69,-2.04,4.35,80.0,80.0,2.86,1.5,0.455,-4.0,216.48351648352,-0.72,Sell,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy,Strong Buy,448820000.0,309700,363317,,882510000.0,-0.12,-0.77,,,,0.51,6.75,9.62,0.4,0.4,86.76,60.87,,1.56,14.07,-7.71,-3.65,0.47,7.05,,,19.51,8.38,10.94,-1.26,-0.6,-3.89,-3.32,-4.26,-4.46,0.22,0.44,1.08,42.49,,,,42.465,0.03,0.05,71.2182,0.0229,5.109,62.219,70.0,44.077,56.37,-40.0,0.022,Plantations,6572,"             Date  Price  Open  High   Low     Vol. Change %
0    Nov 27, 2020   1.44  1.46  1.46  1.43  309.70K   -0.69%
1    Nov 26, 2020   1.45  1.46  1.46  1.44  255.10K    0.00%
2    Nov 25, 2020   1.45  1.47  1.48  1.41  258.80K   -1.36%
3    Nov 24, 2020   1.47  1.45  1.47  1.45   76.80K    1.38%
4    Nov 23, 2020   1.45  1.45  1.50  1.45  225.70K   -1.36%
..            ...    ...   ...   ...   ...      ...      ...
662  Dec 23, 2015   1.50  1.50  1.50  1.50    1.00K    2.74%
663  Dec 22, 2015   1.46  1.46  1.46  1.46    2.70K    0.00%
664  Dec 17, 2015   1.46  1.46  1.46  1.46    1.00K    0.00%
665  Dec 03, 2015   1.46  1.46  1.46  1.46    2.00K   -7.01%
666  Dec 01, 2015   1.57  1.57  1.57  1.57    0.30K    0.00%

[667 rows x 7 columns]"
5,LB Aluminium Bhd,LBAL,ORD,Basic Materials,Metal Mining,/equities/lb-aluminium-bhd,https://www.investing.com/equities/lb-aluminium-bhd-historical-data,953612,62,Kuala Lumpur,Malaysia,0.565,4.63,4.63,2.73,25.56,9.71,16.49,-16.3,0.615,0.26,-8.130081300813,117.30769230769,-4.26,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,140390000.0,893100,298460,39.21,443340000.0,0.01,1.17,0.01,1.77,39.21,0.32,5.09,5.48,0.47,0.48,-5.74,-74.58,-21.86,-10.92,-15.4,0.12,-15.6,0.81,,,,4.43,,11.91,1.73,3.73,1.54,2.97,0.51,2.26,0.94,1.53,12.86,57.96,2.88,-26.32,69.39,19.904,0.0368,0.04,87.8805,0.0296,22.826,62.366,60.528,59.029,52.765,-20.0,0.019,Industrial Products,9326,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.565  0.525  0.565  0.525  893.10K    4.63%
1     Nov 26, 2020  0.540  0.530  0.540  0.515  434.20K    1.89%
2     Nov 25, 2020  0.530  0.510  0.540  0.510  260.50K    3.92%
3     Nov 24, 2020  0.510  0.545  0.565  0.510  387.60K   -7.27%
4     Nov 23, 2020  0.550  0.560  0.585  0.550    2.50M    0.00%
...            ...    ...    ...    ...    ...      ...      ...
1168  Dec 04, 2015  0.490  0.490  0.490  0.490   10.00K   -1.01%
1169  Dec 03, 2015  0.495  0.490  0.495  0.485   78.50K    1.02%
1170  Dec 02, 2015  0.490  0.490  0.490  0.490   41.50K    2.08%
1171  Dec 01, 2015  0.480  0.495  0.495  0.480   64.00K   -2.04%
1172  Nov 30, 2015  0.490  0.485  0.490  0.485   53.00K   -2.00%

[1173 rows x 7 columns]"
6,LBI Capital Bhd,LBIP,ORD,Capital Goods,Construction Services,/equities/lbi-capital-bhd,https://www.investing.com/equities/lbi-capital-bhd-historical-data,950381,62,Kuala Lumpur,Malaysia,0.655,-5.07,-5.07,-9.66,1.55,11.97,12.93,-20.61,0.9,0.345,-27.222222222222,89.855072463768,22.86,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy,Buy,64460000.0,172100,1043627,,17370000.0,-0.01,0.44,0.03,4.58,1352.94,3.84,27.59,6.95,0.45,0.47,-20.48,-106.14,-7.43,-83.67,-52.85,-9.26,79.35,0.11,,,,0.82,,44.53,-2.29,39.85,-2.44,38.39,-2.8,28.93,2.58,4.51,1.02,2.27,5.61,-3.76,1060.54,31.92,0.0825,-0.069,-127.9778,-0.055,-7.746,47.17,20.913,0.0,30.744,-94.231,0.021,Property,8494,"             Date  Price   Open   High   Low     Vol. Change %
0    Nov 27, 2020  0.655  0.660  0.685  0.65  172.10K   -5.07%
1    Nov 26, 2020  0.690  0.675  0.700  0.64  585.50K    2.99%
2    Nov 25, 2020  0.670  0.690  0.755  0.67    1.80M   -7.59%
3    Nov 24, 2020  0.725  0.700  0.745  0.70  728.90K    3.57%
4    Nov 23, 2020  0.700  0.730  0.780  0.69    1.86M   -3.45%
..            ...    ...    ...    ...   ...      ...      ...
905  Dec 07, 2015  1.410  1.430  1.430  1.41   28.00K   -1.40%
906  Dec 04, 2015  1.430  1.430  1.430  1.43    5.00K    1.42%
907  Dec 03, 2015  1.410  1.410  1.410  1.41    1.00K   -1.40%
908  Dec 02, 2015  1.430  1.450  1.450  1.43   31.50K   -2.72%
909  Nov 30, 2015  1.470  1.470  1.470  1.45   16.00K    0.00%

[910 rows x 7 columns]"
7,LBS Bina Group Bhd,LBSB,ORD,Capital Goods,Construction Services,/equities/lbs-bina-group-bhd,https://www.investing.com/equities/lbs-bina-group-bhd-historical-data,950382,62,Kuala Lumpur,Malaysia,0.385,0.0,0.0,-1.28,5.48,-19.89,-19.89,-61.35,0.52,0.301,-25.961538461538,27.906976744186,-5.19,Strong Buy,Strong Buy,Strong Buy,Sell,Neutral,Sell,Strong Sell,583110000.0,531800,3768467,8.48,1150000000.0,0.05,0.78,,4.54,8.48,0.53,2.9,11.11,0.44,0.44,-79.29,7.23,-8.61,-47.75,-6.35,14.68,74.83,0.27,1.0,,,1.33,28.03,30.2,15.14,17.04,10.11,13.82,5.6,8.25,0.72,1.25,34.61,69.22,2.42,4.2,0.0,22.562,0.0093,-0.001,-26.2911,0.0,2.667,51.305,21.429,40.735,33.822,-71.429,0.0,Property,5789,"              Date  Price   Open   High    Low     Vol. Change %
0     Nov 27, 2020  0.385  0.385  0.385  0.380  531.80K    0.00%
1     Nov 26, 2020  0.385  0.380  0.385  0.375    1.17M    2.67%
2     Nov 25, 2020  0.375  0.375  0.380  0.375    1.98M    0.00%
3     Nov 24, 2020  0.375  0.385  0.385  0.375    2.48M   -2.60%
4     Nov 23, 2020  0.385  0.395  0.400  0.385    3.18M   -1.28%
...            ...    ...    ...    ...    ...      ...      ...
1214  Dec 04, 2015  1.370  1.380  1.390  1.360  865.00K    0.00%
1215  Dec 03, 2015  1.370  1.380  1.390  1.360  494.60K   -0.72%
1216  Dec 02, 2015  1.380  1.380  1.390  1.370  422.30K    0.73%
1217  Dec 01, 2015  1.370  1.350  1.380  1.350  702.90K    1.48%
1218  Nov 30, 2015  1.350  1.390  1.400  1.350    2.07M   -2.88%

[1219 rows x 7 columns]"
8,LBS Bina Group Bhd Pref,LBSBq,Preferred,Capital Goods,Construction Services,/equities/lbs-bina,https://www.investing.com/equities/lbs-bina-historical-data,1043312,62,Kuala Lumpur,Malaysia,0.7,0.0,0.0,-0.71,-2.78,0.0,-5.41,-36.36,0.8,0.57,-12.5,22.80701754386,14.29,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Buy,Neutral,1060000000.0,0,32719,8.48,1150000000.0,0.05,0.78,,4.54,8.48,0.53,2.9,11.11,0.44,0.44,-79.29,7.23,-8.61,-47.75,-6.35,14.68,74.83,0.27,1.0,,,1.33,28.03,30.2,15.14,17.04,10.11,13.82,5.6,8.25,0.72,1.25,34.61,69.22,2.42,4.2,0.0,36.429,0.0304,-0.02,16.0285,0.0221,12.0,56.04,34.352,64.017,70.057,-28.571,0.003,Property,5789PA,"             Date  Price   Open   High    Low    Vol. Change %
0    Nov 26, 2020  0.700  0.635  0.700  0.630  63.70K   -0.71%
1    Nov 19, 2020  0.705  0.650  0.705  0.650  10.00K   10.16%
2    Nov 17, 2020  0.640  0.640  0.640  0.640   5.00K    0.00%
3    Nov 13, 2020  0.640  0.640  0.640  0.640   3.00K    0.79%
4    Nov 12, 2020  0.635  0.635  0.640  0.635  63.00K   -2.31%
..            ...    ...    ...    ...    ...     ...      ...
310  Aug 25, 2017  1.090  1.080  1.090  1.060   4.50K   -0.91%
311  Aug 21, 2017  1.100  1.090  1.100  1.080   7.50K    0.00%
312  Aug 18, 2017  1.100  1.110  1.110  1.100   2.00K   -2.65%
313  Aug 16, 2017  1.130  1.110  1.130  1.110   2.30K    0.00%
314  Aug 15, 2017  1.130  1.100  1.130  1.100   2.50K   -0.88%

[315 rows x 7 columns]"
9,LFE Corporation Bhd,LFEC,ORD,Capital Goods,Construction Services,/equities/lfe-corporation-bhd,https://www.investing.com/equities/lfe-corporation-bhd-historical-data,950387,62,Kuala Lumpur,Malaysia,0.21,0.0,0.0,0.0,2.44,-2.33,31.25,-12.5,0.3,0.09,-30.0,133.33333333333,5.13,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Neutral,Neutral,Strong Buy,51510000.0,125400,348032,33.87,24160000.0,0.01,1.13,,,33.87,2.13,16.29,88.69,1.29,1.41,49.04,131.3,,12.42,279.4,-12.16,63.0,0.45,,,,1.13,22.36,21.85,4.9,6.49,4.85,8.62,4.85,8.14,,1.49,0.0,0.0,,,0.0,22.528,0.0064,-0.008,-101.7379,-0.0018,-2.326,47.977,31.944,0.255,54.195,-80.0,0.001,Industrial Products,7170,"             Date  Price   Open   High    Low     Vol. Change %
0    Nov 27, 2020  0.210  0.210  0.210  0.210  125.40K    0.00%
1    Nov 26, 2020  0.210  0.210  0.210  0.210    4.00K    0.00%
2    Nov 24, 2020  0.210  0.215  0.215  0.210  173.60K   -2.33%
3    Nov 23, 2020  0.215  0.210  0.220  0.210  168.20K    2.38%
4    Nov 19, 2020  0.210  0.210  0.215  0.210   98.20K   -2.33%
..            ...    ...    ...    ...    ...      ...      ...
912  Dec 04, 2015  0.270  0.265  0.270  0.265   21.10K    0.00%
913  Dec 03, 2015  0.270  0.265  0.270  0.265   25.00K   -1.82%
914  Dec 02, 2015  0.275  0.270  0.275  0.270  130.20K    1.85%
915  Dec 01, 2015  0.270  0.270  0.270  0.270  395.00K   -3.57%
916  Nov 30, 2015  0.280  0.275  0.280  0.270  634.90K    3.70%

[917 rows x 7 columns]"
