Code,Stock,Company,Sector,Market,Price,EPS,ROE,YoY,QoQ,ConQ,TopQ,RYoY,RQoQ,RConQ,RTopQ
6947,DIGI,DIGI.COM BERHAD,Telecommunications & Media,Main Market,4.230,16.51,206.38,No,No,No,No,No,No,No,No
0155,MGRC,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,Health Care,Ace Market,0.830,15.75,172.86,Yes,No,No,No,No,No,No,No
2836,CARLSBG,CARLSBERG BREWERY MALAYSIA BERHAD,Consumer Products & Services,Main Market,23.960,63.20,137.39,No,No,No,No,No,No,No,No
0829EB,CHINAETF-USD,TRADEPLUS S&P NEW CHINA TRACKER-USD,ETF-Equity,ETF,1.960,240.91,112.31,No,No,No,No,No,No,No,No
5835,DOLMITE,DOLOMITE CORPORATION BERHAD,Industrial Products & Services,Main Market,0.120,12.70,97.68,Yes,Yes,No,Yes,Yes,No,No,No
4707,NESTLE,NESTLE (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,137.400,235.41,93.05,No,No,No,No,No,No,No,No
5181,SIGGAS,SIG GASES BERHAD,Industrial Products & Services,Main Market,0.485,40.69,75.34,Yes,No,No,No,No,No,No,No
7113,TOPGLOV,TOP GLOVE CORPORATION BHD,Health Care,Main Market,6.410,50.40,73.04,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4162,BAT,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,14.360,92.10,72.52,No,No,No,No,No,No,No,No
3255,HEIM,HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,Main Market,22.880,63.29,64.58,No,No,No,No,No,No,No,No
7106,SUPERMX,SUPERMAX CORPORATION BERHAD,Health Care,Main Market,6.790,47.43,57.84,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6399,ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,Telecommunications & Media,Main Market,0.950,9.80,50.93,No,No,No,No,No,No,No,No
3026,DLADY,DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,Main Market,37.900,124.80,46.40,No,No,No,No,Yes,Yes,No,Yes
0830EA,FANG-2XL,TRADEPLUS NYSE FANG+ DAILY (2X) LEVERAGED TRACKER,None,None,11.040,793.20,42.64,No,No,No,Yes,No,No,No,Yes
0163,CAREPLS,CAREPLUS GROUP BERHAD,Health Care,Ace Market,2.430,14.72,42.57,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
7100,UCHITEC,UCHI TECHNOLOGIES BERHAD,Industrial Products & Services,Main Market,2.700,15.77,40.45,No,No,No,Yes,No,No,No,No
03023,SMILE,SMILE-LINK HEALTHCARE GLOBAL BERHAD,Health Care,Leap Market,0.175,1.91,40.39,No,No,No,No,No,No,No,No
1818,BURSA,BURSA MALAYSIA BERHAD,Financial Services,Main Market,8.880,39.36,40.17,Yes,Yes,No,Yes,Yes,Yes,No,Yes
5250,SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Consumer Products & Services,Main Market,1.330,2.97,40.01,No,No,No,No,Yes,Yes,Yes,Yes
03010,MYKRIS,MYKRIS INTERNATIONAL BERHAD,Telecomunications & Media,Leap Market,0.610,6.32,39.48,No,Yes,No,No,No,Yes,No,No
0150,FINTEC,FINTEC GLOBAL BERHAD,Financial Services,Ace Market,0.105,34.97,38.11,Yes,Yes,No,Yes,Yes,Yes,No,No
